Stations;Latitude;Longitude
Acton;51.51361;-0.27056
Addington;51.35833;-0.03056
Barking;51.54000;-0.08000
Barnet;51.64444;-0.19972
Battersea;51.46389;-0.16778
Beckenham;51.41639;-0.02194
Bethnal Green;51.52750;-0.06611
Bexley;51.44111;-0.14889
Biggin Hill;51.31278;-0.04472
Brixton;51.76750;-0.16833
Bromley;51.40694;-0.02111
Chelsea;51.50000;-0.18333
Chingford;51.63111;-0.01611
Chiswick;51.4925;-0.26333
Clapham;51.46333;-0.13389
Croydon;51.37278;-0.11000
Dagenham;51.53972;-0.14222
Deptford;51.47806;-0.02639
Dockhead;51.50064;-0.07095
Dowgate;51.51100;-0.08900
Ealing;51.51750;-0.29880
East Greenwich;51.49813;0.00632
East Ham;51.53230;0.05540
Edmonton;51.61540;0.07080
Eltham;51.45139;0.05167
Enfield;51.64500;-0.06000
Erith;51.48000;0.17780
Euston;52.37833;0.78639
Feltham;51.44972;-0.40889
Finchley;51.44972;-0.40889
Forest Hill;51.44583;-0.05306
Fulham;51.47667;-0.21389
Greenwich;51.80000;0.00000
Hainault;51.60373;0.08751
Hammersmith;51.49280;-0.22290
Harold Hill;51.61000;0.23220
Harrow;51.85360;-0.34640
Hayes;51.51270;-0.42110
Heathrow;51.47750;-0.46139
Hendon;51.58370;-0.22520
Heston;51.48520;-0.37880
Hillingdon;51.53290;-0.45500
Holloway;51.55700;-0.11730
Homerton;51.55212;-0.04704
Hornchurch;51.55650;0.21280
Hornsey;51.58972;-0.11694
Ilford;51.55750;-0.08583
Islington;51.54400;-0.10270
Kensington;51.50000;-0.19000
Kentish Town;51.54470;-0.14590
Kingston;51.41028;-0.29944
Lambeth;51.49650;-0.11160
Lee Green;51.42587;0.49298
Lewisham;51.46100;-0.00500
Leyton;51.56056;-0.01547
Leytonstone;51.56900;0.01000
Mill Hill;51.62000;-0.23000
Millwall;51.48866;-0.01859
Mitcham;51.40090;-0.15170
New Cross;51.47090;-0.03370
New Malden;51.40000;-0.25200
Norbury;51.40920;-0.10830
North Kensington;51.52379;-0.21960
Northolt;51.54700;-0.36200
Old Kent Road;51.48390;-0.06635
Orpington;51.37410;0.09860
Paddington;51.51720;-0.17300
Park Royal;51.52909;-0.28127
Peckham;51.47140;-0.06250
Plaistow;51.52430;0.02450
Plumstead;51.49000;0.09000
Poplar;51.50660;-0.01780
Purley;51.33730;-0.11410
Richmond;51.45600;-0.30100
Romford;51.57680;0.18010
Ruislip;51.57600;-0.43300
Shadwell;51.50710;-0.04660
Shoreditch;51.52600;-0.07800
Sidcup;51.42630;0.10240
Soho;51.51278;-0.13111
Southall;51.51210;-0.37790
Southgate;51.63160;0.12650
Stanmore;51.61800;-0.31400
Stoke Newington;51.55720;-0.08350
Stratford;51.54230;-0.00256
Surbiton;51.39400;-0.30700
Sutton;51.36560;-0.19630
Tooting;51.42800;-0.16500
Tottenham;51.58800;-0.07200
Twickenham;51.44900;-0.33700
Wallington;51.36470;-0.14030
Walthamstow;51.35000;0.00000
Wandsworth;51.45500;-0.19200
Wembley;51.55280;-0.29790
Wennington;51.50610;0.21890
West Hampstead;51.55430;-0.18880
West Norwood;51.42703;-0.09554
Whitechapel;51.51650;-0.07500
Willesden;51.54680;-0.22950
Wimbledon;51.42200;-0.20800
Woodford;51.60475;0.02979
Woodside;51.38785;-0.06751
