Stations,Latitude,Longitude,geometry
Acton,51.51361,-0.27056,POINT (-0.27056 51.51361)
Addington,51.35833,-0.03056,POINT (-0.03056 51.35833)
Barking,51.54,-0.08,POINT (-0.08 51.54)
Barnet,51.64444,-0.19972,POINT (-0.19972 51.64444)
Battersea,51.46389,-0.16778,POINT (-0.16778 51.46389)
Beckenham,51.41639,-0.02194,POINT (-0.02194 51.41639)
Bethnal Green,51.5275,-0.06611,POINT (-0.06611 51.5275)
Bexley,51.44111,-0.14889,POINT (-0.14889 51.44111)
Biggin Hill,51.31351,0.03402,POINT (0.03402 51.31351)
Brixton,51.46374,-0.10940,POINT (-0.10940 51.46374)
Bromley,51.40694,-0.02111,POINT (-0.02111 51.40694)
Chelsea,51.5,-0.18333,POINT (-0.18333 51.5)
Chingford,51.63111,-0.01611,POINT (-0.01611 51.63111)
Chiswick,51.4925,-0.26333,POINT (-0.26333 51.4925)
Clapham,51.46333,-0.13389,POINT (-0.13389 51.46333)
Croydon,51.37278,-0.11,POINT (-0.11 51.37278)
Dagenham,51.53972,-0.14222,POINT (-0.14222 51.53972)
Deptford,51.47806,-0.02639,POINT (-0.02639 51.47806)
Dockhead,51.50064,-0.07095,POINT (-0.07095 51.50064)
Dowgate,51.511,-0.089,POINT (-0.089 51.511)
Ealing,51.5175,-0.2988,POINT (-0.2988 51.5175)
East Greenwich,51.49813,0.00632,POINT (0.00632 51.49813)
East Ham,51.5323,0.0554,POINT (0.0554 51.5323)
Edmonton,51.62727,-0.06920,POINT (-0.06920 51.62727)
Eltham,51.45139,0.05167,POINT (0.05167 51.45139)
Enfield,51.645,-0.06,POINT (-0.06 51.645)
Erith,51.48,0.1778,POINT (0.1778 51.48)
Euston,51.52766,-0.13085,POINT (-0.13085 51.52766)
Feltham,51.44972,-0.40889,POINT (-0.40889 51.44972)
Finchley,51.44972,-0.40889,POINT (-0.40889 51.44972)
Forest Hill,51.44583,-0.05306,POINT (-0.05306 51.44583)
Fulham,51.47667,-0.21389,POINT (-0.21389 51.47667)
Greenwich,51.47404,-0.01367,POINT (-0.01367 51.47404)
Hainault,51.60373,0.08751,POINT (0.08751 51.60373)
Hammersmith,51.4928,-0.2229,POINT (-0.2229 51.4928)
Harold Hill,51.61,0.2322,POINT (0.2322 51.61)
Harrow,51.59081,-0.36639,POINT (-0.36639 51.59081)
Hayes,51.5127,-0.4211,POINT (-0.4211 51.5127)
Heathrow,51.4775,-0.46139,POINT (-0.46139 51.4775)
Hendon,51.5837,-0.2252,POINT (-0.2252 51.5837)
Heston,51.4852,-0.3788,POINT (-0.3788 51.4852)
Hillingdon,51.5329,-0.455,POINT (-0.455 51.5329)
Holloway,51.557,-0.1173,POINT (-0.1173 51.557)
Homerton,51.55212,-0.04704,POINT (-0.04704 51.55212)
Hornchurch,51.5565,0.2128,POINT (0.2128 51.5565)
Hornsey,51.58972,-0.11694,POINT (-0.11694 51.58972)
Ilford,51.5575,-0.08583,POINT (-0.08583 51.5575)
Islington,51.544,-0.1027,POINT (-0.1027 51.544)
Kensington,51.5,-0.19,POINT (-0.19 51.5)
Kentish Town,51.5447,-0.1459,POINT (-0.1459 51.5447)
Kingston,51.41028,-0.29944,POINT (-0.29944 51.41028)
Lambeth,51.4965,-0.1116,POINT (-0.1116 51.4965)
Lee Green,51.45641,0.01267,POINT (0.01267 51.45641)
Lewisham,51.461,-0.005,POINT (-0.005 51.461)
Leyton,51.56056,-0.01547,POINT (-0.01547 51.56056)
Leytonstone,51.569,0.01,POINT (0.01 51.569)
Mill Hill,51.62,-0.23,POINT (-0.23 51.62)
Millwall,51.48866,-0.01859,POINT (-0.01859 51.48866)
Mitcham,51.4009,-0.1517,POINT (-0.1517 51.4009)
New Cross,51.4709,-0.0337,POINT (-0.0337 51.4709)
New Malden,51.4,-0.252,POINT (-0.252 51.4)
Norbury,51.4092,-0.1083,POINT (-0.1083 51.4092)
North Kensington,51.52379,-0.2196,POINT (-0.2196 51.52379)
Northolt,51.547,-0.362,POINT (-0.362 51.547)
Old Kent Road,51.4839,-0.06635,POINT (-0.06635000000000001 51.4839)
Orpington,51.3741,0.0986,POINT (0.09859999999999999 51.3741)
Paddington,51.5172,-0.173,POINT (-0.173 51.5172)
Park Royal,51.52909,-0.28127,POINT (-0.28127 51.52909)
Peckham,51.4714,-0.0625,POINT (-0.0625 51.4714)
Plaistow,51.5243,0.0245,POINT (0.0245 51.5243)
Plumstead,51.49,0.09,POINT (0.09 51.49)
Poplar,51.5066,-0.0178,POINT (-0.0178 51.5066)
Purley,51.3373,-0.1141,POINT (-0.1141 51.3373)
Richmond,51.456,-0.301,POINT (-0.301 51.456)
Romford,51.5768,0.1801,POINT (0.1801 51.5768)
Ruislip,51.576,-0.433,POINT (-0.433 51.576)
Shadwell,51.5071,-0.0466,POINT (-0.0466 51.5071)
Shoreditch,51.526,-0.078,POINT (-0.078 51.526)
Sidcup,51.4263,0.1024,POINT (0.1024 51.4263)
Soho,51.51278,-0.13111,POINT (-0.13111 51.51278)
Southall,51.5121,-0.3779,POINT (-0.3779 51.5121)
Southgate,51.63044,-0.12731,POINT (-0.12731 51.63044)
Stanmore,51.618,-0.314,POINT (-0.314 51.618)
Stoke Newington,51.5572,-0.0835,POINT (-0.0835 51.5572)
Stratford,51.5423,-0.00256,POINT (-0.00256 51.5423)
Surbiton,51.394,-0.307,POINT (-0.307 51.394)
Sutton,51.3656,-0.1963,POINT (-0.1963 51.3656)
Tooting,51.428,-0.165,POINT (-0.165 51.428)
Tottenham,51.588,-0.072,POINT (-0.07199999999999999 51.588)
Twickenham,51.449,-0.337,POINT (-0.337 51.449)
Wallington,51.3647,-0.1403,POINT (-0.1403 51.3647)
Walthamstow,51.35,0.0,POINT (0 51.35)
Wandsworth,51.455,-0.192,POINT (-0.192 51.455)
Wembley,51.5528,-0.2979,POINT (-0.2979 51.5528)
Wennington,51.5061,0.2189,POINT (0.2189 51.5061)
West Hampstead,51.5543,-0.1888,POINT (-0.1888 51.5543)
West Norwood,51.42703,-0.09554,POINT (-0.09554 51.42703)
Whitechapel,51.5165,-0.075,POINT (-0.075 51.5165)
Willesden,51.5468,-0.2295,POINT (-0.2295 51.5468)
Wimbledon,51.422,-0.208,POINT (-0.208 51.422)
Woodford,51.60475,0.02979,POINT (0.02979 51.60475)
Woodside,51.38785,-0.06751,POINT (-0.06751 51.38785)
